Model,Avg Cycles,Correct,Functional,Runtime,Syntax
devstral-small-2:24b,1.37 (+0.37),73.2% (+2.5),22.4% (-2.0),6.0% (-0.9),0.2% (-0.2)
gemma3:4b,1.43 (+0.43),60.6% (-1.6),33.9% (+1.4),8.0% (-0.7),0.0% (+0.0)
gemma4:31b,1.29 (+0.29),81.9% (+3.2),15.5% (+0.0),4.3% (+0.4),0.0% (-3.2)
glm-4.7-flash:latest,2.14 (+1.14),63.4% (-2.8),25.0% (-3.6),5.2% (-2.0),8.2% (+8.0)
gpt-oss:20b,1.46 (+0.46),79.9% (+0.9),15.1% (-1.8),4.3% (-1.1),1.8% (+1.4)
muse-glimmer:30b,1.41 (+0.41),78.9% (-2.0),15.6% (+0.9),4.1% (-0.2),2.3% (+1.6)
ornith-1.5:35b,1.68 (+0.68),72.1% (+6.2),19.4% (+0.5),5.9% (-1.4),4.6% (-5.5)
qwen2.5-coder:32b,1.36 (+0.36),75.3% (+8.2),20.4% (-5.0),6.6% (-2.5),0.2% (-0.4)
qwen2.5-coder:7b,2.06 (+1.06),70.5% (-2.8),24.0% (+3.0),7.8% (+0.0),0.0% (+0.0)
qwen3-coder:30b,1.57 (+0.57),74.2% (-2.3),21.5% (+3.9),5.7% (-0.7),0.2% (-0.4)
qwen3.8:27b,1.17 (+0.17),78.2% (+2.0),18.7% (-0.7),4.3% (-1.4),0.0% (+0.0)
