Model,Avg Cycles,Correct,Functional,Runtime,Syntax
devstral-small-2:24b,1.26 (+0.26),73.7% (+3.0),23.1% (-1.2),5.3% (-1.6),0.0% (-0.4)
gemma3:4b,4.11 (+3.11),44.4% (-17.8),29.0% (-3.6),8.9% (+0.2),19.4% (+19.4)
gemma4:31b,1.25 (+0.25),80.6% (+2.0),16.3% (+0.9),3.9% (+0.0),0.2% (-3.0)
glm-4.7-flash:latest,2.60 (+1.60),68.9% (+2.7),25.0% (-3.6),5.7% (-1.4),2.0% (+1.8)
gpt-oss:20b,1.13 (+0.13),80.8% (+1.8),15.1% (-1.8),3.4% (-2.0),1.2% (+0.9)
muse-glimmer:30b,1.21 (+0.21),81.3% (+0.5),14.4% (-0.4),4.3% (+0.0),0.7% (+0.0)
ornith-1.5:35b,1.43 (+0.43),73.4% (+7.5),18.8% (+0.0),6.6% (-0.7),2.3% (-7.8)
qwen2.5-coder:32b,1.57 (+0.57),70.3% (+3.2),24.0% (-1.4),6.4% (-2.7),1.4% (+0.9)
qwen2.5-coder:7b,1.87 (+0.87),72.5% (-0.9),20.4% (-0.5),6.9% (-0.9),1.8% (+1.8)
qwen3-coder:30b,2.59 (+1.59),69.1% (-7.5),20.1% (+2.5),6.4% (+0.0),6.2% (+5.7)
qwen3.8:27b,1.36 (+0.36),79.0% (+2.8),17.1% (-2.3),4.6% (-1.1),0.2% (+0.2)
